,All USD,All %,Long USD,Long %,Short USD,Short %
Net Profit,127.84,0.01,127.84,0.01,0,0
Gross Profit,138.83,0.01,138.83,0.01,0,0
Gross Loss,10.99,0,10.99,0,0,0
Max Run-up,172.08,0.02,,,,
Max Drawdown,10.77,0,,,,
Buy & Hold Return,1780800000.00,178080,,,,
Sharpe Ratio,-365.796,,,,,
Sortino Ratio,-1,,,,,
Profit Factor,12.632,,12.632,,N/A,
Max Contracts Held,1,,1,,0,
Open PL,19.32,0,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,27,,27,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,11,,11,,0,
Number Losing Trades,16,,16,,0,
Percent Profitable,40.74,,40.74,,N/A,
Avg Trade,4.73,51.44,4.73,51.44,N/A,N/A
Avg Winning Trade,12.62,155.76,12.62,155.76,N/A,N/A
Avg Losing Trade,0.69,20.29,0.69,20.29,N/A,N/A
Ratio Avg Win / Avg Loss,18.374,,18.374,,N/A,
Largest Winning Trade,96.55,530.3,96.55,530.3,N/A,N/A
Largest Losing Trade,7.89,35,7.89,35,N/A,N/A
Avg # Bars in Trades,248,,248,,0,
Avg # Bars in Winning Trades,487,,487,,0,
Avg # Bars in Losing Trades,83,,83,,0,
Margin Calls,0,,0,,0,